ID,Longitud del entorno,Ancho del entorno,Núm_Obstáculos,Núm_hormigas,Iteraciones,Alpha,Beta,Rho,Núm_sub,Longitud_operativa,Longitud no operativa,Longitud total,Número de giros en operación,Número de giros No operación,Número total de giros,Tiempo total
0,100,70,1,50,100,1.5,1.5,0.6,4,1688.1,333.04,2021.14,28,6,34,4.99
1,100,70,1,50,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
2,100,70,1,50,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
3,100,70,1,50,100,1.5,1.5,0.6,4,1687.9,333.3,2021.2,29,6,35,5.01
4,100,70,1,50,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
5,100,70,1,50,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
6,100,70,1,50,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
7,100,70,1,100,100,1.5,1.5,0.6,4,1697.1,338.04,2035.14,28,7,35,5.03
8,100,70,1,100,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
9,100,70,1,100,100,1.5,1.5,0.6,4,1687.5,333.04,2020.54,28,6,34,4.98
10,100,70,1,200,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
11,100,70,1,200,100,1.5,1.5,0.6,4,1684.1,333.04,2017.14,28,6,34,4.87
12,100,70,1,200,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
13,100,70,1,300,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
14,100,70,1,300,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
15,100,70,1,300,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
16,100,70,1,400,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
17,100,70,1,400,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
18,100,70,1,400,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
19,100,70,1,500,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
20,100,70,1,500,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
21,100,70,1,500,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
22,100,70,2,50,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
23,100,70,2,50,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
24,100,70,2,50,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
25,100,70,2,50,100,1.5,1.5,0.6,7,1742.86,351.42,2094.28,32,7,39,5.32
26,100,70,2,50,100,1.5,1.5,0.6,7,1737.86,333.14,2071,32,7,39,5.28
27,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.63,2046.94,31,11,42,5.33
28,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
29,100,70,2,100,100,1.5,1.5,0.6,7,1721.65,360.54,2082.19,32,9,41,5.37
30,100,70,2,200,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
31,100,70,2,200,100,1.5,1.5,0.6,7,1747.86,347.49,2095.35,32,7,39,5.33
32,100,70,2,200,100,1.5,1.5,0.6,7,1744.76,353.67,2098.43,32,10,42,5.43
33,100,70,2,300,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
34,100,70,2,300,100,1.5,1.5,0.6,7,1627.31,386.95,2014.26,31,11,42,5.37
35,100,70,2,300,100,1.5,1.5,0.6,7,1749.21,357.62,2106.83,33,10,43,5.49
36,100,70,1,50,20,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.79
37,100,70,1,50,20,1.5,1.5,0.6,4,1687.1,359.86,2046.96,28,8,36,5.08
38,100,70,1,50,20,1.5,1.5,0.6,4,1742.1,293.67,2035.77,29,4,33,4.98
39,100,70,1,50,50,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
40,100,70,1,50,50,1.5,1.5,0.6,4,1742.1,293.67,2035.77,29,4,33,4.98
41,100,70,1,50,50,1.5,1.5,0.6,4,1757.1,359.86,2116.96,29,8,37,5.24
42,100,70,1,50,100,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
43,100,70,1,50,200,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
44,100,70,1,50,300,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
45,100,70,1,50,400,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
46,100,70,1,50,500,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
47,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
48,100,70,2,100,100,1.5,1.5,0.6,7,1697.31,431.9,2129.21,31,12,43,5.52
49,100,70,2,100,100,1.5,1.5,0.6,7,1697.31,431.9,2129.21,31,12,43,5.52
50,100,70,2,100,100,1.5,1.5,0.6,7,1697.31,431.9,2129.21,31,12,43,5.52
51,100,70,1,50,400,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
52,100,70,1,50,400,1.5,1.5,0.6,4,1687.1,333.04,2020.14,28,6,34,4.97
53,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.63,2046.94,31,11,42,5.33
54,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.63,2046.94,31,11,42,5.33
55,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.63,2046.94,31,11,42,5.33
56,100,70,2,100,200,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
57,100,70,2,100,200,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
58,100,70,2,100,200,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
59,100,70,2,100,300,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
60,100,70,2,100,300,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
61,100,70,2,100,300,1.5,1.5,0.6,7,1627.34,419.43,2046.77,31,13,44,5.34
62,100,70,2,100,400,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.49
63,100,70,2,100,400,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
64,100,70,2,100,400,1.5,1.5,0.6,7,1627.38,419.43,2046.81,31,13,44,5.39
65,100,70,2,100,500,1.5,1.5,0.6,7,1626.31,419.43,2045.74,31,13,44,5.39
66,100,70,3,100,100,1.5,1.5,0.6,8,1569.41,457.24,2026.65,36,14,50,5.64
67,100,70,4,100,100,1.5,1.5,0.6,12,1747.51,357.25,2104.76,36,19,55,5.93
68,100,70,4,100,100,1.5,1.5,0.6,12,1679.06,464.59,2143.65,36,19,55,6.01
69,100,70,3,200,100,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
