ID;Longitud del entorno;Ancho del entorno;Núm_Obstáculos;Núm_hormigas;Iteraciones;Alpha;Beta;Rho;Núm_sub;Longitud_operativa;Longitud no operativa;Longitud total;Número de giros en operación;Número de giros No operación;Número total de giros;Tiempo total
92;100;70;2;100;100;0.1;1.5;0.6;7;1700.41;483.71;2184.12;32;16;48;5.63
164;100;70;3;100;200;0.5;2.0;0.4;8;1569.41;457.31;2026.72;36;14;50;5.64
65;100;70;2;100;500;1.5;1.5;0.6;7;1626.31;419.43;2045.74;31;13;44;5.39
155;100;70;0;50;50;1.0;2.0;0.3;1;1700.0;168.0;1868.0;17;1;18;4.0
106;100;70;4;150;150;0.5;1.5;0.6;12;1791.41;397.34;2188.75;35;17;52;5.96
132;100;70;4;150;150;1.0;1.0;0.1;11;1678.96;397.39;2076.35;35;14;49;5.68
68;100;70;4;100;100;1.5;1.5;0.6;12;1679.06;464.59;2143.65;36;19;55;6.01
49;100;70;2;100;100;1.5;1.5;0.6;7;1697.31;431.9;2129.21;31;12;43;5.52
161;100;70;3;100;200;0.5;2.0;0.4;8;1569.41;457.31;2026.72;36;14;50;5.64
70;100;70;4;300;100;1.5;1.5;0.6;10;1770.46;422.11;2192.57;33;18;51;5.9
57;100;70;2;100;200;1.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.39
115;100;70;4;150;150;1.0;1.5;0.6;10;1720.51;434.82;2155.33;32;15;47;5.69
185;100;70;4;100;150;1.0;1.0;0.5;12;1630.06;419.38;2049.44;30;18;48;5.52
44;100;70;1;50;300;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
41;100;70;1;50;50;1.5;1.5;0.6;4;1757.1;359.86;2116.96;29;8;37;5.24
181;100;70;3;10;10;2.0;5.0;0.8;8;1569.41;457.34;2026.75;36;14;50;5.64
27;100;70;2;100;100;1.5;1.5;0.6;7;1627.31;419.63;2046.94;31;11;42;5.33
21;100;70;1;500;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
159;100;70;0;100;100;2.0;3.0;0.1;1;1700.0;168.0;1868.0;17;1;18;4.0
58;100;70;2;100;200;1.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.39
